[ 2026-04-30 18:00:53,355 ] 20 root - INFO - Initiate the data ingestion
[ 2026-04-30 18:00:56,572 ] 64 root - INFO - Performed train test split on the dataframe
[ 2026-04-30 18:00:56,572 ] 66 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-04-30 18:00:56,572 ] 74 root - INFO - Exporting train and test file path.
[ 2026-04-30 18:00:56,645 ] 83 root - INFO - Exported train and test file path.
[ 2026-04-30 18:00:56,645 ] 22 root - INFO - Data Initiation Completed
[ 2026-04-30 18:00:56,649 ] 26 root - INFO - Initiate the data Validation
[ 2026-04-30 18:00:56,661 ] 32 root - INFO - Required number of column:{number_of_columns}
[ 2026-04-30 18:00:56,662 ] 33 root - INFO - Data frame has columns:31
[ 2026-04-30 18:00:56,662 ] 32 root - INFO - Required number of column:{number_of_columns}
[ 2026-04-30 18:00:56,662 ] 33 root - INFO - Data frame has columns:31
[ 2026-04-30 18:00:56,885 ] 28 root - INFO - data Validation Completed
[ 2026-04-30 18:00:56,885 ] 31 root - INFO - data Transformation started
[ 2026-04-30 18:00:56,885 ] 46 root - INFO - Entered initiate_data_transformation method of datatransformation class 
[ 2026-04-30 18:00:56,885 ] 49 root - INFO - starting data transformation 
[ 2026-04-30 18:00:56,898 ] 35 root - INFO - Entered get_data_transformer_object method of Transformation class
[ 2026-04-30 18:00:56,898 ] 38 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
