[ 2026-05-08 13:29:25,583 ] 42 root - INFO - Start data Ingestion
[ 2026-05-08 13:29:28,716 ] 64 root - INFO - Performed train test split on the dataframe
[ 2026-05-08 13:29:28,716 ] 66 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-05-08 13:29:28,717 ] 74 root - INFO - Exporting train and test file path.
[ 2026-05-08 13:29:28,796 ] 83 root - INFO - Exported train and test file path.
[ 2026-05-08 13:29:28,796 ] 45 root - INFO - Data Ingestion completed and artifact: DataIngestionArtifact(trained_file_path='Artifacts/05_08_2026_13_28_56/data_ingestion/ingested/train.csv', test_file_path='Artifacts/05_08_2026_13_28_56/data_ingestion/ingested/test.csv')
[ 2026-05-08 13:29:28,800 ] 55 root - INFO - Initiate the data Validation
[ 2026-05-08 13:29:28,812 ] 32 root - INFO - Required number of column:{number_of_columns}
[ 2026-05-08 13:29:28,812 ] 33 root - INFO - Data frame has columns:31
[ 2026-05-08 13:29:28,812 ] 32 root - INFO - Required number of column:{number_of_columns}
[ 2026-05-08 13:29:28,812 ] 33 root - INFO - Data frame has columns:31
[ 2026-05-08 13:29:28,986 ] 46 root - INFO - Entered initiate_data_transformation method of datatransformation class 
[ 2026-05-08 13:29:28,987 ] 49 root - INFO - starting data transformation 
[ 2026-05-08 13:29:29,007 ] 35 root - INFO - Entered get_data_transformer_object method of Transformation class
[ 2026-05-08 13:29:29,008 ] 38 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-05-08 13:29:29,021 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-05-08 13:29:29,026 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-05-08 13:29:29,026 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-05-08 13:29:29,030 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-05-08 13:29:29,938 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2026-05-08 13:29:29,947 ] 107 dagshub - INFO - Accessing as vinaysinghal7976
[ 2026-05-08 13:29:30,299 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/vinaysinghal7976/Network-Security "HTTP/1.1 200 OK"
[ 2026-05-08 13:29:31,031 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2026-05-08 13:29:31,039 ] 107 dagshub - INFO - Initialized MLflow to track repo "vinaysinghal7976/Network-Security"
[ 2026-05-08 13:29:31,040 ] 107 dagshub - INFO - Repository vinaysinghal7976/Network-Security initialized!
[ 2026-05-08 13:33:45,727 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-05-08 13:33:45,772 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-05-08 13:33:45,773 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-05-08 13:33:45,832 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-05-08 13:33:45,832 ] 178 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts/05_08_2026_13_28_56/model_trainer/trained_model/model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9914167424012925, precision_score=0.9891194841829538, recall_score=0.9937246963562752), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9739413680781759, precision_score=0.9652945924132365, recall_score=0.9827444535743632))
