[ 2026-03-27 11:33:57,463 ] 17 root - INFO - Initiate the data ingestion
[ 2026-03-27 11:34:16,945 ] 64 root - INFO - Performed train test split on the dataframe
[ 2026-03-27 11:34:16,945 ] 66 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-03-27 11:34:16,945 ] 74 root - INFO - Exporting train and test file path.
[ 2026-03-27 11:34:17,002 ] 83 root - INFO - Exported train and test file path.
[ 2026-03-27 11:34:17,002 ] 19 root - INFO - Data initation completed
[ 2026-03-27 11:34:17,005 ] 23 root - INFO - Initiate the data validation
[ 2026-03-27 11:34:17,045 ] 32 root - INFO - Required number of column:{number_of_columns}
[ 2026-03-27 11:34:17,045 ] 33 root - INFO - Data frame has columns:31
[ 2026-03-27 11:34:17,045 ] 32 root - INFO - Required number of column:{number_of_columns}
[ 2026-03-27 11:34:17,045 ] 33 root - INFO - Data frame has columns:31
[ 2026-03-27 11:34:17,187 ] 25 root - INFO - data validation completed
