[ 2026-03-27 11:33:07,611 ] 17 root - INFO - Initiate the data ingestion
[ 2026-03-27 11:33:17,400 ] 64 root - INFO - Performed train test split on the dataframe
[ 2026-03-27 11:33:17,400 ] 66 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-03-27 11:33:17,401 ] 74 root - INFO - Exporting train and test file path.
[ 2026-03-27 11:33:17,449 ] 83 root - INFO - Exported train and test file path.
[ 2026-03-27 11:33:17,449 ] 19 root - INFO - Data initation completed
[ 2026-03-27 11:33:17,460 ] 23 root - INFO - Initiate the data validation
[ 2026-03-27 11:33:17,529 ] 32 root - INFO - Required number of column:{number_of_columns}
[ 2026-03-27 11:33:17,537 ] 33 root - INFO - Data frame has columns:31
[ 2026-03-27 11:33:17,537 ] 32 root - INFO - Required number of column:{number_of_columns}
[ 2026-03-27 11:33:17,537 ] 33 root - INFO - Data frame has columns:31
