[ 2026-04-30 18:07:14,844 ] 20 root - INFO - Initiate the data ingestion
[ 2026-04-30 18:07:18,222 ] 64 root - INFO - Performed train test split on the dataframe
[ 2026-04-30 18:07:18,222 ] 66 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-04-30 18:07:18,222 ] 74 root - INFO - Exporting train and test file path.
[ 2026-04-30 18:07:18,373 ] 83 root - INFO - Exported train and test file path.
[ 2026-04-30 18:07:18,373 ] 22 root - INFO - Data Initiation Completed
[ 2026-04-30 18:07:18,377 ] 26 root - INFO - Initiate the data Validation
[ 2026-04-30 18:07:18,393 ] 32 root - INFO - Required number of column:{number_of_columns}
[ 2026-04-30 18:07:18,393 ] 33 root - INFO - Data frame has columns:31
[ 2026-04-30 18:07:18,394 ] 32 root - INFO - Required number of column:{number_of_columns}
[ 2026-04-30 18:07:18,394 ] 33 root - INFO - Data frame has columns:31
[ 2026-04-30 18:07:18,661 ] 28 root - INFO - data Validation Completed
[ 2026-04-30 18:07:18,662 ] 31 root - INFO - data Transformation started
[ 2026-04-30 18:07:18,662 ] 46 root - INFO - Entered initiate_data_transformation method of datatransformation class 
[ 2026-04-30 18:07:18,662 ] 49 root - INFO - starting data transformation 
[ 2026-04-30 18:07:18,675 ] 35 root - INFO - Entered get_data_transformer_object method of Transformation class
[ 2026-04-30 18:07:18,675 ] 38 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-04-30 18:07:18,682 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-04-30 18:07:18,685 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-04-30 18:07:18,685 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-04-30 18:07:18,688 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-04-30 18:07:18,688 ] 35 root - INFO - data Transformation completed
[ 2026-04-30 18:07:18,688 ] 37 root - INFO - Model Training started
[ 2026-04-30 18:07:28,671 ] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/middleman "HTTP/1.1 200 OK"
[ 2026-04-30 18:07:29,613 ] 1025 httpx - INFO - HTTP Request: POST https://dagshub.com/login/oauth/access_token "HTTP/1.1 200 OK"
[ 2026-04-30 18:07:30,346 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2026-04-30 18:07:30,348 ] 107 dagshub - INFO - Accessing as vinaysinghal7976
[ 2026-04-30 18:07:31,161 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/repos/vinaysinghal7976/Network-Security "HTTP/1.1 200 OK"
[ 2026-04-30 18:07:31,879 ] 1025 httpx - INFO - HTTP Request: GET https://dagshub.com/api/v1/user "HTTP/1.1 200 OK"
[ 2026-04-30 18:07:31,881 ] 107 dagshub - INFO - Initialized MLflow to track repo "vinaysinghal7976/Network-Security"
[ 2026-04-30 18:07:31,881 ] 107 dagshub - INFO - Repository vinaysinghal7976/Network-Security initialized!
[ 2026-04-30 18:11:17,479 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-04-30 18:11:17,510 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-04-30 18:11:17,510 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-04-30 18:11:17,537 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-04-30 18:11:17,537 ] 178 root - INFO - Model trainer artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts/04_30_2026_18_07_11/model_trainer/trained_model/model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.990981862397406, precision_score=0.987679256715815, recall_score=0.9943066287108581), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9768, precision_score=0.9682791435368755, recall_score=0.9854721549636803))
[ 2026-04-30 18:11:17,538 ] 42 root - INFO - Model Training artifact created
